t,T
0.00,9688.00
0.05,6164.32
0.10,5586.75
0.15,5197.08
0.20,4905.27
0.25,4673.69
0.30,4482.84
0.35,4321.30
0.40,4181.82
0.45,4059.49
0.50,3950.86
0.55,3853.40
0.60,3765.21
0.65,3684.82
0.70,3611.07
0.75,3543.06
0.80,3480.02
0.85,3421.36
0.90,3366.55
0.95,3315.17
1.00,3266.85
1.05,3221.29
1.10,3178.22
1.15,3137.41
1.20,3098.65
1.25,3061.78
1.30,3026.62
1.35,2993.06
1.40,2960.96
1.45,2930.21
1.50,2900.72
1.55,2872.40
1.60,2845.17
1.65,2818.96
1.70,2793.70
1.75,2769.34
1.80,2745.81
1.85,2723.07
1.90,2701.08
1.95,2679.79
2.00,2659.16
2.05,2639.16
2.10,2619.75
2.15,2600.91
2.20,2582.61
2.25,2564.81
2.30,2547.50
2.35,2530.66
2.40,2514.25
2.45,2498.27
2.50,2482.68
2.55,2467.49
2.60,2452.66
2.65,2438.19
2.70,2424.05
2.75,2410.24
2.80,2396.74
2.85,2383.54
2.90,2370.63
2.95,2358.00
3.00,2345.63
3.05,2333.52
3.10,2321.66
3.15,2310.04
3.20,2298.65
3.25,2287.48
3.30,2276.53
3.35,2265.79
3.40,2255.24
3.45,2244.90
3.50,2234.74
3.55,2224.76
3.60,2214.96
3.65,2205.33
3.70,2195.87
3.75,2186.57
3.80,2177.43
3.85,2168.44
3.90,2159.59
3.95,2150.89
4.00,2142.33
4.05,2133.91
4.10,2125.61
4.15,2117.45
4.20,2109.41
4.25,2101.49
4.30,2093.68
4.35,2086.00
4.40,2078.42
4.45,2070.96
4.50,2063.60
4.55,2056.35
4.60,2049.20
4.65,2042.14
4.70,2035.19
4.75,2028.32
4.80,2021.55
4.85,2014.87
4.90,2008.28
4.95,2001.77
5.00,1995.35
5.05,1989.01
5.10,1982.75
5.15,1976.57
5.20,1970.46
5.25,1964.43
5.30,1958.48
5.35,1952.59
5.40,1946.78
5.45,1941.03
5.50,1935.35
5.55,1929.74
5.60,1924.19
5.65,1918.71
5.70,1913.29
5.75,1907.93
5.80,1902.63
5.85,1897.39
5.90,1892.20
5.95,1887.08
6.00,1882.00
6.05,1876.98
6.10,1872.02
6.15,1867.11
6.20,1862.25
6.25,1857.44
6.30,1852.67
6.35,1847.96
6.40,1843.30
6.45,1838.68
6.50,1834.11
6.55,1829.58
6.60,1825.10
6.65,1820.66
6.70,1816.27
6.75,1811.91
6.80,1807.60
6.85,1803.33
6.90,1799.10
6.95,1794.91
7.00,1790.76
7.05,1786.65
7.10,1782.57
7.15,1778.53
7.20,1774.53
7.25,1770.56
7.30,1766.63
7.35,1762.73
7.40,1758.87
7.45,1755.04
7.50,1751.25
7.55,1747.49
7.60,1743.76
7.65,1740.06
7.70,1736.39
7.75,1732.76
7.80,1729.15
7.85,1725.57
7.90,1722.03
7.95,1718.51
8.00,1715.02
8.05,1711.56
8.10,1708.13
8.15,1704.72
8.20,1701.34
8.25,1697.99
8.30,1694.67
8.35,1691.37
8.40,1688.10
8.45,1684.85
8.50,1681.62
8.55,1678.43
8.60,1675.25
8.65,1672.10
8.70,1668.97
8.75,1665.87
8.80,1662.79
8.85,1659.73
8.90,1656.70
8.95,1653.68
9.00,1650.69
9.05,1647.72
9.10,1644.77
9.15,1641.85
9.20,1638.94
9.25,1636.05
9.30,1633.19
9.35,1630.34
9.40,1627.52
9.45,1624.71
9.50,1621.92
9.55,1619.15
9.60,1616.40
9.65,1613.67
9.70,1610.96
9.75,1608.27
9.80,1605.59
9.85,1602.93
9.90,1600.29
9.95,1597.67
10.00,1595.06
10.05,1592.47
10.10,1589.90
10.15,1587.35
10.20,1584.81
10.25,1582.28
10.30,1579.78
10.35,1577.28
10.40,1574.81
10.45,1572.35
10.50,1569.90
10.55,1567.47
10.60,1565.06
10.65,1562.66
10.70,1560.27
10.75,1557.90
10.80,1555.55
10.85,1553.21
10.90,1550.88
10.95,1548.56
11.00,1546.26
11.05,1543.98
11.10,1541.70
11.15,1539.44
11.20,1537.20
11.25,1534.96
11.30,1532.74
11.35,1530.54
11.40,1528.34
11.45,1526.16
11.50,1523.99
11.55,1521.83
11.60,1519.68
11.65,1517.55
11.70,1515.43
11.75,1513.32
11.80,1511.22
11.85,1509.14
11.90,1507.06
11.95,1505.00
12.00,1502.95
12.05,1500.90
12.10,1498.87
12.15,1496.86
12.20,1494.85
12.25,1492.85
12.30,1490.86
12.35,1488.89
12.40,1486.92
12.45,1484.97
12.50,1483.02
12.55,1481.09
12.60,1479.16
12.65,1477.25
12.70,1475.34
12.75,1473.45
12.80,1471.56
12.85,1469.69
12.90,1467.82
12.95,1465.96
13.00,1464.12
13.05,1462.28
13.10,1460.45
13.15,1458.63
13.20,1456.82
13.25,1455.02
13.30,1453.22
13.35,1451.44
13.40,1449.66
13.45,1447.90
13.50,1446.14
13.55,1444.39
13.60,1442.65
13.65,1440.92
13.70,1439.19
13.75,1437.48
13.80,1435.77
13.85,1434.07
13.90,1432.38
13.95,1430.69
14.00,1429.02
14.05,1427.35
14.10,1425.69
14.15,1424.04
14.20,1422.39
14.25,1420.75
14.30,1419.12
14.35,1417.50
14.40,1415.89
14.45,1414.28
14.50,1412.68
14.55,1411.09
14.60,1409.50
14.65,1407.92
14.70,1406.35
14.75,1404.79
14.80,1403.23
14.85,1401.68
14.90,1400.13
14.95,1398.60
15.00,1397.07
15.05,1395.54
15.10,1394.02
15.15,1392.51
15.20,1391.01
15.25,1389.51
15.30,1388.02
15.35,1386.54
15.40,1385.06
15.45,1383.59
15.50,1382.12
15.55,1380.66
15.60,1379.21
15.65,1377.76
15.70,1376.32
15.75,1374.88
15.80,1373.45
15.85,1372.03
15.90,1370.61
15.95,1369.20
16.00,1367.80
16.05,1366.40
16.10,1365.00
16.15,1363.61
16.20,1362.23
16.25,1360.85
16.30,1359.48
16.35,1358.11
16.40,1356.75
16.45,1355.40
16.50,1354.05
16.55,1352.70
16.60,1351.36
16.65,1350.03
16.70,1348.70
16.75,1347.38
16.80,1346.06
16.85,1344.75
16.90,1343.44
16.95,1342.13
17.00,1340.84
17.05,1339.54
17.10,1338.26
17.15,1336.97
17.20,1335.70
17.25,1334.42
17.30,1333.15
17.35,1331.89
17.40,1330.63
17.45,1329.38
17.50,1328.13
17.55,1326.88
17.60,1325.64
17.65,1324.41
17.70,1323.18
17.75,1321.95
17.80,1320.73
17.85,1319.51
17.90,1318.30
17.95,1317.09
18.00,1315.89
18.05,1314.69
18.10,1313.49
18.15,1312.30
18.20,1311.12
18.25,1309.94
18.30,1308.76
18.35,1307.58
18.40,1306.41
18.45,1305.25
18.50,1304.09
18.55,1302.93
18.60,1301.78
18.65,1300.63
18.70,1299.49
18.75,1298.34
18.80,1297.21
18.85,1296.08
18.90,1294.95
18.95,1293.82
19.00,1292.70
19.05,1291.58
19.10,1290.47
19.15,1289.36
19.20,1288.26
19.25,1287.15
19.30,1286.06
19.35,1284.96
19.40,1283.87
19.45,1282.79
19.50,1281.70
19.55,1280.62
19.60,1279.55
19.65,1278.47
19.70,1277.41
19.75,1276.34
19.80,1275.28
19.85,1274.22
19.90,1273.17
19.95,1272.12
20.00,1271.07
20.05,1270.02
20.10,1268.98
20.15,1267.95
20.20,1266.91
20.25,1265.88
20.30,1264.85
20.35,1263.83
20.40,1262.81
20.45,1261.79
20.50,1260.78
20.55,1259.77
20.60,1258.76
20.65,1257.76
20.70,1256.76
20.75,1255.76
20.80,1254.76
20.85,1253.77
20.90,1252.78
20.95,1251.80
21.00,1250.82
21.05,1249.84
21.10,1248.86
21.15,1247.89
21.20,1246.92
21.25,1245.95
21.30,1244.99
21.35,1244.03
21.40,1243.07
21.45,1242.11
21.50,1241.16
21.55,1240.21
21.60,1239.26
21.65,1238.32
21.70,1237.38
21.75,1236.44
21.80,1235.51
21.85,1234.58
21.90,1233.65
21.95,1232.72
22.00,1231.80
22.05,1230.88
22.10,1229.96
22.15,1229.04
22.20,1228.13
22.25,1227.22
22.30,1226.31
22.35,1225.41
22.40,1224.51
22.45,1223.61
22.50,1222.71
22.55,1221.82
22.60,1220.92
22.65,1220.04
22.70,1219.15
22.75,1218.27
22.80,1217.38
22.85,1216.51
22.90,1215.63
22.95,1214.76
23.00,1213.89
23.05,1213.02
23.10,1212.15
23.15,1211.29
23.20,1210.43
23.25,1209.57
23.30,1208.71
23.35,1207.86
23.40,1207.01
23.45,1206.16
23.50,1205.31
23.55,1204.47
23.60,1203.62
23.65,1202.79
23.70,1201.95
23.75,1201.11
23.80,1200.28
23.85,1199.45
23.90,1198.62
23.95,1197.80
24.00,1196.97
24.05,1196.15
24.10,1195.33
24.15,1194.52
24.20,1193.70
24.25,1192.89
24.30,1192.08
24.35,1191.27
24.40,1190.47
24.45,1189.66
24.50,1188.86
24.55,1188.06
24.60,1187.27
24.65,1186.47
24.70,1185.68
24.75,1184.89
24.80,1184.10
24.85,1183.31
24.90,1182.53
24.95,1181.75
25.00,1180.97
25.05,1180.19
25.10,1179.41
25.15,1178.64
25.20,1177.87
25.25,1177.10
25.30,1176.33
25.35,1175.56
25.40,1174.80
25.45,1174.04
25.50,1173.28
25.55,1172.52
25.60,1171.76
25.65,1171.01
25.70,1170.26
25.75,1169.51
25.80,1168.76
25.85,1168.01
25.90,1167.27
25.95,1166.53
26.00,1165.78
26.05,1165.05
26.10,1164.31
26.15,1163.57
26.20,1162.84
26.25,1162.11
26.30,1161.38
26.35,1160.65
26.40,1159.93
26.45,1159.20
